title,release_date,running_time,rt_score
Castle in the Sky,1986,124,95
Grave of the Fireflies,1988,89,97
My Neighbor Totoro,1988,86,93
Kiki's Delivery Service,1989,102,96
Only Yesterday,1991,118,100
Porco Rosso,1992,93,94
Pom Poko,1994,119,78
Whisper of the Heart,1995,111,91
Princess Mononoke,1997,134,92
My Neighbors the Yamadas,1999,104,75
Spirited Away,2001,124,97
The Cat Returns,2002,75,89
Howl's Moving Castle,2004,119,87
Tales from Earthsea,2006,116,41
Ponyo,2008,100,92
Arrietty,2010,94,95
From Up on Poppy Hill,2011,91,83
The Wind Rises,2013,126,89
The Tale of the Princess Kaguya,2013,137,100
When Marnie Was There,2014,103,92
The Red Turtle,2016,80,93
Earwig and the Witch,2021,82,30
